product_name,protein_value,fat_value,carbohydrate_value,kcal_value
7up,0,0,8.7,38
Actimel Вишня,2.900000095,1.5,11.5,74
Actimel Гранат,2.700000048,1.5,11.5,73
Actimel Земляника и шиповник,2.700000048,1.5,11.5,73
Actimel Клубника,2.700000048,1.5,11.5,72
Actimel Малина и клюква,2.700000048,1.5,11.5,72
Actimel Мультифрукт,2.700000048,1.5,12,75
Actimel Натуральный,2.799999952,1.6,10.5,71
Actimel Черника и ежевика,2.900000095,1.5,11.5,74
Exponenta High-Pro Черника-Алоэ,12,0,2.5,60
Fruttis Сливочное лакомство Клубника-Земляника,2.200000048,5,17,122
Neo Имунеле Natural,1.799999952,0.9,11.8,63
Neo Имунеле Гранат-Вишня,2.5,1.2,12.4,70
Neo Имунеле Клюква-Малина,2.5,1.2,12.6,71
Neo Имунеле Лесные ягоды,2.5,1.2,13.1,73
Абрикос,0.899999976,0.1,9,44
Абрикос консервированный,0.400000006,0.1,15.5,67
Абрикосовая косточка,14,27.7,56.3,440
Абрикосовый компот,0.5,0,21,85
Абрикосовый сок,0.899999976,0.1,9,38
Абсент,0,0,8.8,171
Авокадо,2,20,6,212
Агар пищевой,4,0,76,301
Аджика,1,3.7,5.8,59
Ажгон,19.70000076,14.5,11.9,333
Азу,11.89999962,14.2,10.2,214
Айва,0.600000024,0.5,9.8,40
Айвовый компот,0.400000006,0,20,79
Айвовый сок,0.5,0,10.6,45
Айран (тан) газированный,1.100000024,1.5,1.4,24
Айран (тан) из козьего молока,1.100000024,1.5,1.4,24
Айран (тан) негазированный,1.100000024,1.5,1.4,24
Айран (тан) негазированный нежирный,1.100000024,0.2,1.4,12
Айран (тан) с укропом и огурцом,1.100000024,1,1.4,19
Айран (тан) сильногазированный,1.100000024,1,1.4,19
Аквафаба нутовая,0.400000006,0,0.9,5
Аквафаба сублимированная Гала-Гала,6.099999905,0,14,84
Аки,1,15,8,151
Активиа Быстрый завтрак Клубника,4.300000191,2.8,20.9,127
Активиа Быстрый завтрак Натуральный,4.800000191,3.1,14.4,107
Активиа Быстрый завтрак с овсянкой Яблоко-Груша,3.599999905,3.1,16.7,110
Активиа Кефирная 1%,2.900000095,1,4.5,39
Активиа Кефирная 3%,2.900000095,3,3.6,53
Активиа Момент удовольствия Вишня,4.300000191,2.7,13.7,97
Активиа Момент удовольствия Земляника,4.300000191,2.7,12.9,97
Активиа Питьевая Ананас,2.799999952,2,12.2,77
Активиа Питьевая Бифидойогурт Классический 1.5%,3.400000095,1.5,4.4,45
Активиа Питьевая Вишня и чёрная смородина,2.599999905,2,12.8,81
Активиа Питьевая Злаки,2.799999952,2.2,12.4,81
Активиа Питьевая Клубника и земляника,2.799999952,2.2,12.4,81
Активиа Питьевая Малина и злаки,2.799999952,2.1,11,74
Активиа Питьевая Натуральная,3.200000048,2.4,4.5,52
Активиа Питьевая Тыква банан и корица,2.900000095,2.1,10.9,74
Активиа Питьевая Чернослив,2.799999952,2,12.8,80
Активиа Питьевая Яблоко и злаки,2.799999952,2.2,13,83
Активиа Семейная Клубника,3.900000095,3.2,13.6,98
Активиа Семейная Персик,3.900000095,3.2,13.6,98
Активиа Творожная Клубника,5,4.5,15.5,123
Активиа Творожная Малина,4.199999809,4.5,11.4,102
Активиа Творожная Мюсли,5,4.5,15.5,123
Активиа Творожная Мюсли и манго,4.800000191,4.5,14.7,119
Активиа Творожная Натуральная,5.900000095,4.5,3.7,79
Активиа Творожная Отруби и злаки,4.900000095,4.3,13.7,113
Активиа Творожная Чернослив,4.699999809,4.2,14.4,114
Активиа Фреш Арбуз,2.799999952,1.6,12.3,74
Активиа Фреш Вишня,2.799999952,1.6,11,70
Активиа Фреш Гранат и Малина,2.799999952,1.6,11,70
Активиа Фреш Манго,2.799999952,1.6,12,73
Активиа Фреш Персик,2.799999952,1.6,11,70
Актуаль на сыворотке вкус арбуза,0.5,0.1,8.6,37
Акула катран,19.89999962,7,0,142
Акульи плавники,21,4.8,0,130
Алыча,0.200000003,0,6.9,27
Амарант,13.60000038,7,69,371
Амарантовые отруби Di&Di с гречей,19,5.5,55,345
Амарантовые отруби Di&Di с ламинарией,20.39999962,5.1,37,311
Амарантовые отруби Di&Di с топинамбуром,19,5.5,55,345
Американская смесь Hortex,2.400000095,0.5,5.1,39
Амур белый,18.60000038,5.3,0,134
Амур чёрный,17.5,2,0,88
Ананас,0.400000006,0.2,10.6,49
Ананас консервированный,0.100000001,0.1,14,57
Ананасовый компот,0.100000001,0.1,14,71
Ананасовый нектар,0.100000001,0,12.9,54
Ананасовый сок,0.300000012,0.1,11.4,48
Ангурия (Антильский огурец),1.799999952,1.3,7.6,44
Анис,17.60000038,15.9,35.4,337
Антрекот,27.29999924,31.2,1.7,396
Антрекот из говядины,29.60000038,11.2,0,220
Антрекот из свинины,28.70000076,9.8,0,210
Анчоус атлантический,20.10000038,6.1,0,135
Анчоусная паста,26,16,4,280
Анчоусы консервированные,20.10000038,6.1,0,135
Аньолотти,10,1.1,71.5,344
Апельсин,0.899999976,0.2,8.1,36
Апельсин маринованный,0.600000024,0,8.9,37
Апельсиновый нектар,0.300000012,0,10.1,43
Апельсиновый сок,0.899999976,0.2,8.1,36
Арахис,26.29999924,45.2,9.9,622
Арахис Джаз жареный соленый,25,52,17,640
Арахис Степановна обжаренный соленый,29.20000076,50.2,5.7,590
Арахис сушеный,29.20000076,50.2,10.8,611
Арбуз,0.600000024,0.1,5.8,25
Арбуз консервированный,0.5,0.1,9,37
Арбузный сок,0.600000024,0.1,5.9,38
Аргентина,17.60000038,2,0,88
Арракача,0.899999976,0.1,17.1,60
Артишок,1.200000048,0.1,6,28
Артишоки Federici гриль в подсолнечном масле,1.5,47.2,5.2,456
Асафетида,0.100000001,0.1,0.1,0
Ассорти Бондюэль из сладкого перца,1.100000024,0.2,4.8,25
Ассорти Бондюэль из фасоли с ананасами в соусе Карри,3.799999952,1.1,9.3,62
"Ассорти Бондюэль из цветной капусты, романеско и брокколи",1.799999952,2.7,8.6,66
Ассорти МеленЪ Кабачки Черри Огурцы маринованные,0,0,4,15
Ассорти МеленЪ Патиссоны Черри Огурцы маринованные,0,0,4,15
Ассорти мясное,11.30000019,23.5,0.9,264
Ассорти овощное,1,0.1,3.3,19
Ассорти рыбное,10.39999962,4.7,0.5,78
Ацерола,0.400000006,0.3,7.7,32
Ацидофилин 0.1%,3,0.1,3.9,31
Ацидофилин 1%,3,1,4,40
Ацидофилин 3.2%,2.799999952,3.2,3.8,57
Ацидофилин 3.2% сладкий,2.799999952,3.2,8.6,77
Ацидофилин Останкинский 2.5%,2.799999952,2.5,4.2,51
Баветте,11,1.3,70.5,351
Багель,7.900000095,9.4,55.5,339
Багет,7.5,2.9,51.4,262
Багет мини с отрубями,6.400000095,0.8,39.1,189
Багет чесночный,7.5,15,49,360
Бадьян,18,16,50,337
Базилик свежий,2.5,0.6,4.3,27
Базилик сушеный,14.39999962,4,61,251
Баклажан,1.200000048,0.1,4.5,24
Баклажан белый,1.200000048,0.1,4.6,24
Баклажан замороженный,1.299999952,0.1,5.2,27
Баклажан консервированный,0.899999976,0.7,7.3,49
Баклажанная икра консервированная,1.700000048,13.3,5.1,148
Баклажанная икра свежая,0.600000024,7,6,90
Баклажаны 4 сезона запечённые порционные,2.099999905,0.2,8.9,48
Баклажаны 4 сезона нарезанные,1.299999952,0.1,5.2,27
Баклажаны по-корейски готовые,0,9,6.5,109
Баклажаны фаршированные готовые,1.5,6.1,7.3,79
Бамбук листья,2,0,4,32
Бамбук побеги вареные,1.5,0.2,0.9,12
Бамбук побеги консервированные,1.700000048,0.4,1.8,19
Бамбук побеги сырые,2.599999905,0.3,3,27
Бамия,2,0.1,3.8,25
Бамия 4 сезона,0.200000003,0.1,8,23
Банан,1.5,0.2,21.8,95
Банановый сок,0,0,12,48
Бананы сушёные,3.900000095,1.8,80.5,390
Барабулька (султанка),19.39999962,3.8,0,117
Бараний окорок,18,18,0,232
Бараний рубец,11.5,4,0,82
Бараний фарш,17,23,0,282
Бараний язык,12.60000038,16.1,0,195
Баранина,15.60000038,16.3,0,209
Баранина вареная,24.60000038,21.4,0,291
Баранина жареная,20,24,0,320
Баранина тушеная,20,20.9,0,268
Баранки,16,1,70,336
Баранье сердце,13.5,2.5,0,82
Бараньи почки,13.60000038,2.5,0,77
Бараньи яйца,13,19,0.1,230
Баранья лопатка,15.60000038,25,0,284
Баранья печень,18.70000076,2.9,0,101
Барбарис,0,0,7.9,29
Барбарис сушеный,0,0,38,152
Баренцев Анчоус солёно-сушёный,49,7,0,259
Баренцев Кальмар кольца,53,2,3,242
Баренцев Кальмар копчёный,53,2,3,242
Баренцев Кальмар солёно-сушёный,62,2,5,286
Баренцев Креветка со специями,36,4,3,192
Баренцев Окинэль ломтики филе,50.70000076,8.6,0,280
Баренцев Окинэль с перцем,50.70000076,8.6,0,280
Баренцев Соломка рыбная оригинальная,46,3,5,231
Баренцев Соломка рыбная подкопченная,46,3,5,231
Баренцев Сомуль солёно-сушёный,65.80000305,1.2,0,274
Баренцев Ставридка золотистая подкопченная,48,8,0,264
Баренцев Ставридка серебристая солёно-сушёная,48,8,0,264
Баренцев Тунец солёно-сушёный,57.79999924,0.3,0,234
Баренцев Чиксы рыбка с перцем,50.70000076,8.6,0,280
Баскет 16 крыльев,13.80000019,19.5,18.6,306
Баскет 25 крыльев,16.60000038,20.7,15.4,314
Баскет Дуэт оригинальный и острый,16.5,15.1,17.2,271
Баскет Пати,10.19999981,17,22.3,284
Баскет Стар,17,15.1,17.2,273
Бастурма турецкая,14.80000019,20.1,0,240
Батард ржаной,7.900000095,1.8,49.7,250
